Date,User_ID,Session_ID,User_Type,Source_Medium,Country,Device_Category,Is_Engaged,Converted,Revenue,Session_Duration_Seconds,User_Journey,Top_Page
27-11-2025,U_1000,S_770487,Returning,google / organic,United States,Mobile,0,0,0,0,/shop,/shop
27-11-2025,U_1000,S_131244,Returning,google / cpc,United States,Mobile,0,0,0,7,/blog,/blog
27-11-2025,U_1000,S_717889,Returning,direct / none,United States,Mobile,1,0,0,82,/shop > /product/tshirt > /cart,/cart
27-11-2025,U_1001,S_197251,New,google / organic,United States,Mobile,0,0,0,6,/home,/home
27-11-2025,U_1002,S_182627,New,facebook / referral,United Kingdom,Desktop,0,0,0,10,/home,/home
27-11-2025,U_1003,S_338968,New,email / newsletter,Australia,Desktop,0,0,0,2,/product/shoes,/product/shoes
27-11-2025,U_1004,S_488162,New,direct / none,United Kingdom,Desktop,0,0,0,2,/blog,/blog
27-11-2025,U_1005,S_584714,New,email / newsletter,United Kingdom,Desktop,0,0,0,3,/home,/home
27-11-2025,U_1002,S_961722,Returning,google / cpc,United States,Desktop,0,0,0,10,/blog,/blog
27-11-2025,U_1006,S_623481,New,email / newsletter,India,Mobile,0,0,0,9,/product/shoes,/product/shoes
27-11-2025,U_1007,S_549245,New,google / organic,United States,Tablet,1,0,0,86,/home > /shop > /product/shoes,/product/shoes
27-11-2025,U_1008,S_260265,New,direct / none,India,Mobile,0,0,0,8,/product/shoes,/product/shoes
27-11-2025,U_1009,S_112038,New,google / organic,Australia,Desktop,1,0,0,252,/shop > /product/tshirt > /cart,/cart
27-11-2025,U_1010,S_265840,New,email / newsletter,Australia,Mobile,1,0,0,182,/home > /shop > /product/shoes,/product/shoes
27-11-2025,U_1011,S_982554,New,google / cpc,United States,Desktop,0,0,0,9,/home,/home
27-11-2025,U_1012,S_439902,New,google / organic,United States,Tablet,1,0,0,70,/home > /blog > /shop,/shop
27-11-2025,U_1013,S_189814,New,facebook / referral,Germany,Mobile,0,0,0,4,/blog,/blog
27-11-2025,U_1014,S_653306,New,google / cpc,United States,Mobile,1,0,0,234,/shop > /product/tshirt > /cart,/cart
27-11-2025,U_1015,S_804314,New,google / cpc,India,Mobile,1,0,0,142,/home > /blog > /shop,/shop
27-11-2025,U_1001,S_107540,Returning,google / organic,Germany,Desktop,1,1,106.97,262,/home > /shop > /product/shoes > /cart > /checkout,/cart
